,text-3 href,text-3,story__link,story__link href,story__excerpt,timestamp--label,timestamp--time,Concatenated_Columns
29,www.dawn.com/business,Business,Elevenyear high volume pushes index to  points,1284177-eleven year high volume pushes index to 40363 points,"Trading on Friday had a volume of 851 million shares, which is the highest since March 4, 2005.",Updated,"17 Sep, 2016","Elevenyear high volume pushes index to  pointsTrading on Friday had a volume of 851 million shares, which is the highest since March 4, 2005."
30,www.dawn.com/business,Business,FPCCI calls for implementation of GI protection law,1284178-fpcci calls for implementation of gi protection law,Expresses concern over long delay in implementation of Geographical Indication Protection Law.,Updated,"17 Sep, 2016",FPCCI calls for implementation of GI protection lawExpresses concern over long delay in implementation of Geographical Indication Protection Law.
31,www.dawn.com/business,Business,Senate committee prefers FBR to State Bank for property valuation,1284179-senate committee prefers fbr to state bank for property valuation,Amendment to empower FBR to value property prices causes intense discussion in the Senate.,Updated,"17 Sep, 2016",Senate committee prefers FBR to State Bank for property valuationAmendment to empower FBR to value property prices causes intense discussion in the Senate.
32,www.dawn.com/business,Business,Dar asks France to lift travel advisory to facilitate investors,1284180-dar asks france to lift travel advisory to facilitate investors,Dar says closer economic relations will cement bilateral ties between the two countries.,Updated,"17 Sep, 2016",Dar asks France to lift travel advisory to facilitate investorsDar says closer economic relations will cement bilateral ties between the two countries.
33,www.dawn.com/business,Business,Smallcap stocks leading PSX volumes,1284181-small cap stocks leading psx volumes,With a 20pc gain in the past 12 months PSX ahead of Asian giants China and India in Forbes ranking.,Updated,"17 Sep, 2016",Smallcap stocks leading PSX volumesWith a 20pc gain in the past 12 months PSX ahead of Asian giants China and India in Forbes ranking.
34,www.dawn.com/pakistan,Pakistan,JI seeks immediate reforms census in Fata,1284276-ji seeks immediate reforms census in fata,"Govt plan to merge Fata into KP should be initiated as soon as possible, says JI chief.",Updated,"17 Sep, 2016","JI seeks immediate reforms census in FataGovt plan to merge Fata into KP should be initiated as soon as possible, says JI chief."
35,www.dawn.com/pakistan,Pakistan,France urged to raise voice against Indian oppression,1284281-france urged to raise voice against indian oppression,Finance minister apprises French minister of the worsening human rights situation in Indiaheld Kashmir.,Updated,"17 Sep, 2016",France urged to raise voice against Indian oppressionFinance minister apprises French minister of the worsening human rights situation in Indiaheld Kashmir.
36,www.dawn.com/pakistan,Pakistan, more stranded workers return from Saudi Arabia,1284304-233 more stranded workers return from saudi arabia,"Over 6,000 Pakistani workers waiting to be sent back to Pakistan, claims one deported worker.",Updated,"17 Sep, 2016"," more stranded workers return from Saudi ArabiaOver 6,000 Pakistani workers waiting to be sent back to Pakistan, claims one deported worker."
37,www.dawn.com/pakistan,Pakistan,Under pressure Punjab undecided about Rangers powers,1284305-under pressure punjab undecided about rangers powers,"Province wants paramilitary force to assist police against terrorists, not criminals.",Updated,"17 Sep, 2016","Under pressure Punjab undecided about Rangers powersProvince wants paramilitary force to assist police against terrorists, not criminals."
38,www.dawn.com/pakistan,Pakistan,Stargazers treated to years last lunar eclipse,1284303-stargazers treated to years last lunar eclipse,"The next lunar eclipse, also a penumbral, will occur on Feb 1.",Updated,"17 Sep, 2016","Stargazers treated to years last lunar eclipseThe next lunar eclipse, also a penumbral, will occur on Feb 1."
39,www.dawn.com/world,World,US to pay families of hostage drone victims,1284308-us to pay families of hostage drone victims,Both aid workers were killed by a US drone strike in 2015 while in Al Qaedas custody.,Updated,"17 Sep, 2016",US to pay families of hostage drone victimsBoth aid workers were killed by a US drone strike in 2015 while in Al Qaedas custody.
40,www.dawn.com/pakistan,Pakistan,Pakistan India set to clash on Kashmir at UN,1284310-pakistan india set to clash on kashmir at un,Kashmir dispute to find special mention in PMs speech next week India preparing 'a befitting reply'.,Updated,"17 Sep, 2016",Pakistan India set to clash on Kashmir at UNKashmir dispute to find special mention in PMs speech next week India preparing 'a befitting reply'.
41,www.dawn.com/world,World,Bid to ease Hekmatyar into Kabul politics,1284311-bid to ease hekmatyar into kabul politics,It would be Hekmatyars second overt homecoming to Kabul.,Updated,"17 Sep, 2016",Bid to ease Hekmatyar into Kabul politicsIt would be Hekmatyars second overt homecoming to Kabul.
